Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus vespilloides,2,1250,1,13.92204,3.459,3.03473,3.50872,4.50465,6.95432,6.03101,4.05745,3.48528,3.53377,14.3,7.54273
Nicrophorus vespilloides,2,1250,1,13.77058,3.34821,3.07132,3.58707,4.57028,6.8353,5.98683,3.70366,3.567,3.80959,14.8,7.27066
Nicrophorus vespilloides,2,1250,1,16.22969,4.14091,3.44035,3.90051,5.26509,8.18827,6.50463,4.07624,4.11927,3.81809,17,8.19551
Nicrophorus vespilloides,2,1250,0,14.36979,3.48743,2.83029,3.48235,4.45993,7.40001,6.29281,3.68482,3.69445,3.54011,14,7.37927
Nicrophorus vespilloides,2,1250,0,15.06182,3.46982,2.9098,3.69419,4.75723,7.89781,6.5908,3.55185,3.48538,3.34984,16.2,7.03723
Nicrophorus vespilloides,2,1250,0,13.81976,3.10777,2.75532,3.45576,4.34979,7.25623,6.30404,3.43332,3.54642,3.13732,14.5,6.97974
Nicrophorus vespilloides,2,1250,0,15.70764,3.5139,3.02511,4.03304,4.94749,8.1607,6.95582,3.97031,3.47605,3.92048,17.8,7.44636
Nicrophorus vespilloides,2,1250,0,14.35998,3.41633,2.76164,3.62293,4.47059,7.32072,5.79405,3.44199,3.44899,3.4602,15.2,6.89098
Oiceoptoma thoracicum,2,1250,1,16.66702,2.5936,2.27532,3.99125,6.88367,10.08217,8.35414,3.79954,3.35131,4.01594,14,7.15085
Oiceoptoma thoracicum,2,1250,1,15.56611,2.51172,2.21605,3.87187,6.88013,9.18252,7.53046,3.61835,3.42351,3.71899,14,7.04186
Oiceoptoma thoracicum,2,1250,0,16.91944,2.74953,2.18426,4.1434,7.03736,10.02651,8.01586,3.5934,3.36406,3.91557,14,6.95746
Nicrophorus quadripunctatus ,3,1250,0,15.17198,3.60792,3.05918,3.81406,4.51698,7.75,6.00087,3.78078,3.63408,3.35805,16,7.41486
Nicrophorus quadripunctatus ,3,1250,0,18.15916,5.04817,4.08637,4.16758,5.32385,8.94341,6.56332,4.35083,4.52453,4.72905,19,8.87536
Nicrophorus tenuipes,3,1250,0,19.9825,4.544,4.41337,4.78301,5.94845,10.65549,7.57959,5.3121,5.37269,4.98406,24,10.68479
Nicrophorus maculifrons,3,1250,0,17.7894,4.06613,3.51148,4.12576,5.10813,9.59751,6.95805,4.20873,4.10085,3.86041,20,8.30958
Nicrophorus vespilloides,3,1250,1,16.4281,4.63867,3.52392,3.92282,5.12843,7.86661,6.91542,4.11766,4.31839,3.73843,16.4,8.43605
Nicrophorus vespilloides,3,1250,0,15.36734,3.69854,3.03684,3.76399,4.94223,7.90481,6.53617,3.8717,3.66045,3.83165,16,7.53215
Nicrophorus vespilloides,3,1250,0,15.51921,3.69105,2.97131,3.76192,4.78187,8.06624,6.76837,3.8293,4.08162,3.64728,16,7.91092
Nicrophorus vespilloides,3,1250,0,15.46123,3.99141,3.06177,3.86934,4.86894,7.60048,6.73522,3.9034,3.62852,3.81042,16,7.53192
Nicrophorus vespilloides,3,1250,0,14.49201,3.32974,3.02791,3.62841,4.75491,7.53386,5.95312,3.78518,3.9654,3.53023,15,7.75058
Nicrophorus vespilloides,3,1250,0,17.2734,4.1516,3.34227,4.29764,5.58418,8.82416,7.60072,4.29127,4.30596,4.15448,17,8.59723
Oiceoptoma thoracicum,3,1250,1,15.98226,2.3488,2.14264,4.07264,6.56278,9.56082,8.37994,3.80482,3.41395,3.67997,13.5,7.21877
Oiceoptoma thoracicum,3,1250,0,14.35199,2.20872,2.04341,3.20035,5.84081,8.94292,7.25703,3.51855,3.30012,3.36253,13,6.81867
Nicrophorus quadripunctatus ,4,1250,0,17.74169,4.09111,3.56611,4.49672,5.15301,9.15386,6.49377,4.40357,4.36295,3.80719,20,8.76652
Silpha perforata,4,1250,1,18.22381,3.11985,2.70586,4.89424,7.7907,10.20972,8.23629,4.78651,4.82468,6.00265,1.43241,9.61119
Nicrophorus tenuipes,4,1250,0,17.0448,3.99834,3.52372,4.16398,5.20983,8.88248,6.95119,4.43544,4.50995,4.26067,20,8.94539
Nicrophorus tenuipes,4,1250,0,18.21736,4.47184,3.79037,4.34196,5.40941,9.40356,7.26891,4.68215,4.13643,4.75063,20,8.81858
Nicrophorus tenuipes,4,1250,0,16.75117,4.22113,3.443,4.00138,4.81169,8.52866,6.4539,4.26957,4.55214,4.00827,19,8.82171
Nicrophorus tenuipes,4,1250,0,16.76701,4.29368,3.52989,3.96421,4.58864,8.50912,6.56657,4.42047,4.26385,4.29892,19.5,8.68432
Nicrophorus tenuipes,4,1250,0,18.06601,4.46717,3.82954,4.29689,5.29662,9.30195,7.09593,4.63114,4.67879,4.63737,20,9.30993
Nicrophorus vespilloides,4,1250,0,16.79199,4.06646,3.43325,4.40234,5.47204,8.32319,7.46419,4.39915,4.073,3.54973,18,8.47215
Nicrophorus vespilloides,4,1250,0,14.47262,3.43634,2.81118,3.62047,4.61277,7.41581,6.22459,3.5604,3.63756,3.39238,15,7.19796
Nicrophorus vespilloides,4,1250,0,14.04221,3.25574,2.72078,3.51165,4.34802,7.27482,5.92716,3.44386,3.30472,3.42249,14,6.74858
Nicrophorus vespilloides,4,1250,0,11.84479,2.7783,2.25215,2.96156,3.6704,6.10493,4.7669,2.9034,2.73413,2.49877,12,5.63753
Nicrophorus vespilloides,4,1250,0,14.21175,3.61655,2.94743,3.52389,4.4477,7.07131,6.27859,3.54183,3.72913,3.65334,15,7.27096
Oiceoptoma thoracicum,4,1250,1,16.39295,2.36416,2.18768,3.76487,6.79709,10.26392,7.9746,3.69133,3.45844,3.60485,14,7.14977
Nicrophorus quadripunctatus ,5,1250,1,16.60848,4.70593,3.99722,3.70605,5.07533,8.1965,6.34551,4.00058,4.07864,3.71857,18.2,8.07922
Nicrophorus quadripunctatus ,5,1250,0,15.07555,3.02536,3.31945,3.94718,4.69482,8.10301,6.1474,3.81516,3.73435,3.33054,18,7.54951
Silpha perforata,5,1250,1,16.95601,2.55092,2.7415,4.72256,7.17945,9.68253,7.99885,4.62012,4.68966,6.18017,1.30838,9.30978
Nicrophorus tenuipes,5,1250,0,18.97696,4.66651,4.14727,4.50456,5.90078,9.80589,7.73466,5.0673,4.99143,5.51659,22,10.05873
Nicrophorus vespilloides,5,1250,0,16.05354,3.67254,3.18795,3.9411,4.91325,8.4399,7.19555,3.95945,3.90952,3.72529,15,7.86897
Nicrophorus quadripunctatus ,6,1250,0,17.38909,4.09505,3.61116,4.38617,5.22534,8.90787,6.61095,4.25878,4.27199,3.83891,18,8.53077
Nicrophorus quadripunctatus ,6,1250,0,16.92173,3.70877,3.57592,4.3238,5.06319,8.88916,6.77451,4.13658,4.11741,3.72539,19.8,8.25399
Nicrophorus quadripunctatus ,6,1250,0,17.98509,4.20726,3.62694,4.52572,5.17788,9.25211,6.77493,4.21351,4.51142,4.07774,19,8.72493
Nicrophorus quadripunctatus ,6,1250,0,15.76802,3.55549,3.26348,3.97723,4.76188,8.2353,6.41025,4.09853,3.96307,3.99005,18,8.0616
Nicrophorus quadripunctatus ,6,1250,0,16.82075,4.07077,3.42977,4.11652,5.05261,8.63346,6.70582,3.89217,3.99951,3.71099,19,7.89168
Silpha perforata,6,1250,1,17.22568,2.97178,2.66107,4.7401,7.49729,9.5138,7.86235,4.64062,4.80176,5.42262,1.23305,9.44238
Silpha perforata,6,1250,0,18.17761,2.83617,2.7579,5.11786,7.81578,10.22358,8.43932,4.96541,4.88148,5.61969,1.37014,9.84689
Silpha perforata,6,1250,0,19.12687,3.06621,2.86155,5.3527,7.94661,10.70796,8.80954,5.18255,4.75048,5.56005,1.23984,9.93303
Nicrophorus tenuipes,6,1250,1,19.10939,5.1062,4.31327,4.34396,5.62547,9.65923,7.07188,4.8096,4.90914,4.40793,21.1,9.71874
Nicrophorus tenuipes,6,1250,0,18.44897,4.46365,4.01459,4.5791,5.62197,9.40622,7.26206,4.86794,5.02144,4.8016,22,9.88938
Nicrophorus tenuipes,6,1250,0,17.52175,4.50271,3.71482,4.09453,5.19664,8.92451,6.99859,4.68398,4.7168,4.32451,20,9.40078
Nicrophorus tenuipes,6,1250,0,17.91401,4.61945,3.99986,4.09419,5.31788,9.20037,6.93959,4.85049,4.9709,4.70923,21,9.82139
Nicrophorus tenuipes,6,1250,0,20.72729,5.21401,4.35286,4.98049,6.01978,10.53279,7.46872,5.41088,5.50118,5.30744,24,10.91206
Nicrophorus tenuipes,6,1250,0,19.18035,4.73533,4.06261,4.71217,5.74236,9.73285,7.2709,4.87392,5.08163,4.40158,22,9.95555
Nicrophorus maculifrons,6,1250,1,13.67249,3.17905,3.01857,3.2071,4.19373,7.28634,5.24799,3.19185,3.19031,3.27771,16,6.38216
Nicrophorus concolor,6,1250,1,24.21981,5.23881,5.0451,6.21839,7.4914,12.76261,9.36253,5.46884,5.37339,5.47983,29.3,10.84223
Nicrophorus vespilloides,6,1250,1,15.56195,4.07166,3.41093,3.89026,5.02362,7.60003,6.56509,4.04389,3.96662,3.84362,16.3,8.01051
Nicrophorus vespilloides,6,1250,0,14.50965,3.20375,2.97933,3.647,4.5402,7.6589,6.31615,3.57782,3.43888,3.74004,15,7.0167
Oiceoptoma thoracicum,6,1250,1,15.86685,2.37003,2.30902,3.7801,6.76956,9.71672,7.96284,3.3772,3.52906,3.46238,13,6.90626
Nicrophorus quadripunctatus ,7,1250,0,17.43001,4.1302,3.58068,4.41739,5.37174,8.88242,6.64539,4.22293,4.12736,4.04588,19,8.35029
Silpha perforata,7,1250,1,18.78323,2.764,2.70797,5.24112,8.21678,10.77811,8.74183,5.08525,5.03477,5.70649,1.29271,10.12002
Silpha perforata,7,1250,1,18.57438,3.35822,2.79257,4.94476,7.82387,10.2714,8.3052,4.97251,4.78323,5.83929,2.12186,9.75574
Silpha perforata,7,1250,0,18.29957,2.90566,2.81737,5.02705,7.8556,10.36686,8.55542,4.65978,4.84388,5.43121,1.19428,9.50366
Silpha perforata,7,1250,0,18.90619,3.04141,2.7082,5.16241,7.95164,10.70237,8.64489,5.07964,4.91248,6.06395,1.7468,9.99212
Nicrophorus tenuipes,7,1250,0,18.52889,4.55446,3.6983,4.33506,5.25141,9.63937,7.46422,4.77136,4.90885,4.15563,21,9.68021
Nicrophorus vespilloides,7,1250,0,18.13884,4.05041,3.59128,4.52879,5.72095,9.55964,7.74262,4.28299,4.27701,3.94999,19,8.56
Oiceoptoma thoracicum,7,1250,1,14.23238,2.23182,2.09407,3.55343,6.11048,8.44713,7.447,3.01097,3.05002,3.32731,12,6.06099
Nicrophorus quadripunctatus ,1,1400,0,17.07176,3.78013,3.5135,4.30209,4.96456,8.98954,6.99848,4.09779,3.97703,3.79885,19,8.07482
Nicrophorus quadripunctatus ,1,1400,0,13.82516,3.2249,3.10227,3.46124,4.20691,7.13902,5.54569,3.301,3.41597,3.4458,14,6.71697
Nicrophorus tenuipes,1,1400,0,18.55076,4.37556,3.9939,4.41325,5.58711,9.76195,7.50887,4.75927,4.71823,4.77436,22,9.4775
Nicrophorus tenuipes,1,1400,0,17.35007,4.22359,3.68239,4.11596,5.1296,9.01052,6.87373,4.55306,4.77528,4.35818,20,9.32834
Nicrophorus tenuipes,1,1400,0,18.31548,4.47163,3.83885,4.31352,5.40452,9.53033,7.08445,4.90173,4.8458,4.39343,21,9.74753
Nicrophorus tenuipes,1,1400,0,18.98681,4.79291,4.24601,4.37661,5.44672,9.81729,7.4501,4.93365,4.94799,4.56477,21.8,9.88164
Nicrophorus tenuipes,1,1400,0,20.18645,5.03358,4.37043,4.77189,6.09895,10.38098,7.9827,5.63449,5.47945,5.06584,24,11.11394
Nicrophorus maculifrons,1,1400,0,18.4946,3.92969,3.84674,4.46633,5.59926,10.09858,7.18556,4.49143,4.06204,4.28627,22,8.55347
Nicrophorus vespilloides,1,1400,0,15.52041,3.55724,3.02878,3.80935,4.72994,8.15382,6.51028,4.05139,3.91155,3.6466,17,7.96294
Nicrophorus quadripunctatus ,2,1400,1,16.42747,4.27068,3.96535,4.1208,5.05285,8.03599,6.469,4.13624,3.92156,4.15027,18,8.0578
Nicrophorus tenuipes,2,1400,0,17.61873,4.14925,3.75913,4.16625,5.25999,9.30323,6.84527,4.81446,4.7151,4.50607,21,9.52956
Nicrophorus maculifrons,2,1400,1,15.7305,3.78849,3.29916,3.81219,4.62994,8.12982,6.10729,3.71113,3.7873,3.94898,17.3,7.49843
Nicrophorus vespilloides,2,1400,0,14.41753,3.32298,2.7199,3.59932,4.37602,7.49523,6.11832,3.55881,3.69624,3.35521,16,7.25505
Nicrophorus quadripunctatus ,3,1400,1,15.26998,3.28311,3.57342,3.97493,4.76389,8.01194,6.17838,3.80003,3.82907,3.89943,17,7.6291
Nicrophorus quadripunctatus ,3,1400,0,17.9958,4.18355,3.61372,4.52971,5.2552,9.28254,6.95239,4.44126,4.24421,4.12379,19.6,8.68547
Nicrophorus maculifrons,3,1400,1,19.03198,4.61735,4.26073,4.47569,5.56274,9.93894,7.3095,4.20251,4.1668,4.47162,22,8.36931
Nicrophorus vespilloides,3,1400,0,15.90503,3.75822,3.3922,3.83582,5.09343,8.31099,6.97323,3.98767,3.81409,4.1104,17,7.80176
Nicrophorus quadripunctatus ,4,1400,1,15.57173,4.04226,3.56611,3.70575,4.65784,7.82372,6.05443,3.62296,3.63541,3.9152,17.5,7.25837
Nicrophorus quadripunctatus ,4,1400,0,18.38212,4.21196,3.62279,4.59148,5.275,9.57868,7.33256,4.51248,4.44562,3.96463,20.2,8.9581
Nicrophorus tenuipes,4,1400,1,20.40416,5.34054,4.59117,4.67803,6.14502,10.38559,7.88561,5.49922,5.1847,4.97806,23,10.68392
Nicrophorus vespilloides,4,1400,0,12.91629,3.13209,2.54935,3.16828,4.01646,6.61592,5.56202,3.21702,3.118,3.07314,14.4,6.33502
Nicrophorus vespilloides,4,1400,0,11.98677,2.82903,2.38775,2.95328,3.71596,6.20446,5.19594,3.11251,2.98106,3.04973,13,6.09357
Nicrophorus vespilloides,4,1400,0,16.211,3.90667,3.26038,3.95755,5.12116,8.34678,7.37636,4.25616,4.07541,4.02537,17,8.33157
Nicrophorus vespilloides,4,1400,0,17.42701,4.19557,3.45928,4.47721,5.49161,8.75423,7.31256,4.55378,4.32784,4.11162,18.1,8.88162
Nicrophorus vespilloides,4,1400,0,15.94114,3.63483,3.19175,4.01178,5.06989,8.29453,6.81006,3.97087,4.03091,3.75277,16.9,8.00178
Nicrophorus quadripunctatus ,5,1400,1,14.68012,3.77297,2.95147,3.71704,4.35329,7.19011,5.59558,3.50559,3.71109,3.71119,16,7.21668
Nicrophorus quadripunctatus ,5,1400,0,18.70719,4.40354,3.82214,4.61326,5.60068,9.69039,7.37761,4.52504,4.59525,4.26661,20.3,9.12029
Nicrophorus tenuipes,5,1400,1,20.18023,5.4486,4.45288,4.71365,6.17469,10.01798,7.67517,5.20188,5.16633,4.98134,21,10.36821
Nicrophorus tenuipes,5,1400,1,19.05018,4.82353,4.23819,4.6204,5.79321,9.60625,7.22195,5.01637,5.22591,4.42434,21.5,10.24228
Nicrophorus tenuipes,5,1400,1,20.75853,5.41975,4.78669,4.87972,6.21435,10.45906,8.02237,5.38138,5.22853,5.17445,23,10.60991
Nicrophorus tenuipes,5,1400,0,19.68526,4.62359,4.39224,4.87082,5.81963,10.19085,7.74574,5.26842,5.41542,4.32873,22,10.68384
Nicrophorus tenuipes,5,1400,0,19.69683,5.02551,4.18852,4.63553,5.96487,10.03579,7.57972,5.16591,5.40252,4.74513,22.2,10.56843
Nicrophorus vespilloides,5,1400,0,13.56472,3.22781,2.67576,3.49083,4.3198,6.84608,5.92553,3.42595,3.5132,3.48622,15,6.93915
Nicrophorus vespilloides,5,1400,0,14.12389,3.41306,2.71646,3.52244,4.58198,7.18839,6.16568,3.2606,3.3586,3.44987,14,6.6192
Nicrophorus vespilloides,5,1400,0,13.64916,3.26648,2.50594,3.35773,4.16524,7.02495,5.98702,3.41049,3.54059,3.41441,14.7,6.95108
Nicrophorus vespilloides,5,1400,0,12.96055,2.93352,2.67306,3.24954,4.16255,6.77749,5.51657,3.40601,3.13242,3.30897,14,6.53843
Nicrophorus vespilloides,5,1400,0,15.06782,3.38106,2.98106,3.66517,4.76063,8.02159,6.74003,3.58326,3.56041,3.59214,17,7.14367
Nicrophorus tenuipes,6,1400,0,20.73114,4.96784,4.4789,4.87983,6.2571,10.88347,8.38963,5.4275,5.59053,5.11524,24,11.01803
Nicrophorus vespilloides,6,1400,1,13.79302,3.48138,2.88982,3.37553,4.46896,6.93611,5.98364,3.37903,3.63015,3.61802,14.3,7.00918
Nicrophorus vespilloides,6,1400,1,14.87976,3.82534,3.07306,3.74442,4.79199,7.31,6.10983,3.74024,3.76408,3.6091,15.5,7.50432
Nicrophorus vespilloides,6,1400,1,13.71087,3.46082,2.91666,3.36238,4.31683,6.88767,5.63392,3.40243,3.60067,3.59468,14,7.0031
Nicrophorus vespilloides,6,1400,1,15.03395,3.77205,3.09427,3.77843,4.73745,7.48347,6.38664,3.84009,3.77168,3.62294,16.2,7.61177
Nicrophorus vespilloides,6,1400,1,12.57051,2.87773,2.43447,3.07603,4.13591,6.61675,5.74448,3.20359,3.31373,3.31194,13.7,6.51732
Nicrophorus vespilloides,6,1400,0,13.72678,3.0791,2.74383,3.53067,4.42256,7.11701,6.2458,3.59307,3.52268,3.60262,14,7.11575
Nicrophorus vespilloides,6,1400,0,14.76526,3.34523,2.79969,3.54978,4.39895,7.87025,6.43928,3.57919,3.69065,3.6594,16,7.26984
Nicrophorus vespilloides,6,1400,0,16.68381,3.53382,3.29352,4.18417,5.42998,8.96582,7.30499,4.39519,4.49239,4.12224,18.1,8.88758
Nicrophorus vespilloides,6,1400,0,14.02392,3.13021,2.72872,3.45766,4.15721,7.43605,6.34203,3.56003,3.40618,3.29436,15.5,6.96621
Nicrophorus vespilloides,6,1400,0,14.27416,3.3076,2.87884,3.6189,4.43128,7.34766,6.16603,3.6795,3.51269,3.50532,15,7.19219
Nicrophorus quadripunctatus ,7,1400,0,17.30372,4.26598,3.34849,4.14312,5.13795,8.89462,6.48076,4.17795,3.9829,3.66157,19,8.16085
Nicrophorus quadripunctatus ,7,1400,0,18.3212,4.18538,3.44195,4.61701,5.43484,9.51881,6.80943,4.38849,4.5889,4.08427,20.1,8.97739
Nicrophorus quadripunctatus ,7,1400,0,14.25248,3.26166,2.81986,3.71793,4.27903,7.27289,6.09294,3.39053,3.56495,3.15095,16,6.95548
Nicrophorus tenuipes,7,1400,1,19.38197,5.07366,4.31188,4.50602,5.66927,9.80229,7.1747,5.01889,5.04062,4.26928,21.2,10.05951
Nicrophorus tenuipes,7,1400,0,18.2412,4.52721,3.66781,4.36078,5.31943,9.35321,7.18642,4.72063,4.82828,4.19733,21,9.54891
Nicrophorus tenuipes,7,1400,0,18.98164,4.4171,4.09681,4.50609,5.84747,10.05845,7.32548,5.13077,5.38382,4.88949,22,10.51459
Nicrophorus tenuipes,7,1400,0,18.62574,4.56451,3.81582,4.50822,5.47369,9.55301,7.30419,4.84173,5.07583,4.11698,22,9.91756
Nicrophorus tenuipes,7,1400,0,17.50211,4.21375,3.67238,4.17674,5.25814,9.11162,7.08148,4.68625,4.75836,4.53289,21,9.44461
Nicrophorus maculifrons,7,1400,1,20.54479,4.89288,4.52892,4.82832,6.08519,10.82359,7.63337,4.89137,4.625,4.75382,23.3,9.51637
Nicrophorus maculifrons,7,1400,0,20.70098,4.62351,4.16381,5.01504,5.92346,11.06243,8.19233,4.85618,4.69514,4.44631,24,9.55132
Nicrophorus maculifrons,7,1400,0,18.39048,4.27103,3.6529,4.47498,5.51709,9.64447,7.08949,4.51733,4.41192,4.13944,22,8.92925
Nicrophorus maculifrons,7,1400,0,19.32696,4.50822,3.80053,4.53614,5.52358,10.2826,7.55369,4.55473,4.51658,4.22535,22,9.07131
Nicrophorus quadripunctatus ,1,1550,1,16.38307,4.27435,3.68167,3.84973,4.80046,8.25899,6.17619,3.57133,3.81793,3.93434,27.4,7.38926
Nicrophorus tenuipes,1,1550,1,19.08995,4.99056,4.15678,4.52765,5.77426,9.57174,7.22569,4.91186,4.88164,4.38443,21,9.7935
Nicrophorus tenuipes,1,1550,0,21.59289,5.27269,4.48846,5.07286,6.18939,11.24734,8.26852,5.40235,5.42699,5.20551,24,10.82934
Nicrophorus maculifrons,1,1550,1,16.791,4.32294,3.52323,3.88462,4.84638,8.58344,6.25583,4.01352,3.81645,4.15148,18.1,7.82997
Nicrophorus vespilloides,1,1550,1,14.95852,3.89712,3.26736,3.71946,4.93625,7.34194,6.3997,3.632,3.42733,3.24416,16,7.05933
Nicrophorus vespilloides,1,1550,1,14.27914,3.47568,3.11506,3.63851,4.53047,7.16495,6.04778,3.31511,3.7995,3.39233,16,7.11461
Nicrophorus vespilloides,1,1550,1,14.19388,3.67366,3.04423,3.61033,4.49601,6.90989,6.06898,3.61339,3.74805,3.28645,15.1,7.36144
Nicrophorus vespilloides,1,1550,1,15.25343,3.7937,3.31488,3.87734,4.75655,7.58239,6.22232,3.69499,3.64958,3.79789,16,7.34457
Nicrophorus vespilloides,1,1550,1,13.37576,3.57386,2.78832,3.30958,4.25373,6.49232,5.77334,3.05896,3.33667,3.32534,13,6.39563
Nicrophorus vespilloides,1,1550,0,14.24924,3.39289,2.83434,3.68975,4.52788,7.1666,6.31773,3.65683,3.40328,3.48667,15,7.06011
Nicrophorus vespilloides,1,1550,0,16.2195,3.87523,3.20377,3.97655,5.05186,8.36772,7.02324,3.96725,3.97492,3.70583,17,7.94217
Nicrophorus vespilloides,1,1550,0,12.43814,2.98434,2.48085,3.1112,3.90016,6.3426,5.20903,3.1081,3.33312,3.02958,14,6.44122
Nicrophorus vespilloides,1,1550,0,15.68069,3.66111,3.09557,3.89532,4.93888,8.12426,7.06562,4.01859,4.04756,3.48755,16,8.06615
Nicrophorus vespilloides,1,1550,0,14.55387,3.16473,2.89399,3.64753,4.63896,7.74161,6.65089,3.73849,3.7082,3.76068,17,7.44669
Nicrophorus tenuipes,2,1550,1,18.64514,4.5883,4.05849,4.48925,5.40002,9.56759,7.05597,5.05807,5.03623,4.50148,21,10.0943
Nicrophorus tenuipes,2,1550,0,18.72631,4.46627,4.16552,4.52658,5.69117,9.73346,7.68131,5.07302,5.10134,4.62787,21,10.17436
Nicrophorus vespilloides,2,1550,0,14.61819,3.50854,2.8301,3.58016,4.51129,7.52949,6.04924,3.41037,3.57283,3.40509,15,6.9832
Nicrophorus quadripunctatus ,3,1550,0,16.89069,4.04649,3.43413,4.13936,4.89364,8.70484,6.53283,3.92211,4.09886,4.16,18,8.02097
Nicrophorus maculifrons,3,1550,0,16.05379,3.69922,3.18869,3.77545,4.65257,8.57912,6.59559,3.83454,3.81645,3.56334,18.3,7.65099
Nicrophorus vespilloides,3,1550,0,15.17005,3.58404,3.0096,3.56954,4.73864,8.01647,6.33742,3.69446,3.85331,3.70924,16.8,7.54777
Nicrophorus vespilloides,4,1550,1,15.53445,4.00284,3.21618,3.81849,4.98885,7.71312,6.3327,3.88445,4.0763,3.61723,15.1,7.96075
Nicrophorus vespilloides,4,1550,0,15.57956,3.84318,3.00432,3.81872,4.81422,7.91766,6.85832,3.73371,3.77333,3.86934,16.2,7.50704
Nicrophorus vespilloides,4,1550,0,14.43691,3.37892,2.72246,3.4214,4.45049,7.63659,6.20839,3.468,3.61145,3.44555,16,7.07945
Nicrophorus vespilloides,4,1550,0,14.57828,3.50861,2.90575,3.50578,4.55852,7.56389,6.48909,3.30863,3.45149,3.4075,16,6.76012
Nicrophorus vespilloides,4,1550,0,14.72629,3.4622,2.8498,3.62261,4.77078,7.64148,6.51514,3.6249,3.69711,3.4272,16.2,7.32201
Nicrophorus vespilloides,4,1550,0,17.02183,4.07961,3.23915,4.14909,5.27427,8.79313,7.02697,3.96806,4.13264,3.95505,17.6,8.1007
Nicrophorus tenuipes,5,1550,0,19.36534,4.75307,4.05759,4.6156,5.68244,9.99667,7.54009,4.98395,5.23842,4.67088,21.8,10.22237
Nicrophorus tenuipes,5,1550,0,19.31027,4.60308,4.2021,4.56175,5.69048,10.14544,7.67732,5.1887,5.37889,4.85611,22.7,10.56759
Nicrophorus vespilloides,5,1550,0,14.56751,3.32993,3.00671,3.5664,4.70708,7.67118,6.2699,3.71211,3.63784,3.57078,15.7,7.34995
Nicrophorus quadripunctatus ,6,1550,1,15.74104,4.09722,3.60647,3.71218,4.61231,7.93164,6.01066,3.77948,4.02668,3.6422,16.8,7.80616
Nicrophorus quadripunctatus ,6,1550,0,16.71997,3.88338,3.26978,4.06946,4.79042,8.76713,6.50086,4.00515,4.21401,4.00204,18.2,8.21916
Nicrophorus quadripunctatus ,6,1550,0,16.47291,3.77808,3.32876,4.1063,4.9165,8.58853,6.35266,3.9683,3.80671,3.66835,17.5,7.77501
Nicrophorus vespilloides,6,1550,1,15.93617,3.93868,3.3731,3.96621,5.07348,8.03128,6.6589,4.26567,3.60714,3.92976,16,7.87281
Nicrophorus vespilloides,6,1550,1,16.50131,4.05925,3.62923,4.04929,5.34825,8.39277,7.18332,4.146,4.09856,3.7561,17,8.24456
Nicrophorus vespilloides,6,1550,0,11.52761,2.91765,2.3083,2.69973,3.52329,5.91023,4.86807,2.76666,2.90125,3.09266,12,5.66791
Nicrophorus vespilloides,6,1550,0,15.0376,3.42626,3.02612,3.79008,4.73574,7.82126,6.60173,3.65676,3.71953,3.51183,15,7.37629
Nicrophorus vespilloides,6,1550,0,16.06436,3.55539,3.20536,3.93247,5.18924,8.5765,7.19028,4.01582,4.16547,3.76115,17,8.18129
Nicrophorus vespilloides,7,1550,0,15.35853,3.90705,3.32396,3.68503,4.90027,7.76645,6.59961,3.82918,3.99558,3.7771,16,7.82476
Nicrophorus quadripunctatus ,1,1700,1,18.06764,4.62645,4.21546,4.35901,5.37269,9.08218,6.76379,4.17608,3.99439,4.53802,19.3,8.17047
Nicrophorus quadripunctatus ,1,1700,1,18.46599,4.88549,4.27229,4.26084,5.39265,9.31966,7.24618,4.31097,4.33127,4.34208,19.8,8.64224
Nicrophorus tenuipes,1,1700,0,21.48748,5.13204,4.48804,5.08952,6.29204,11.26592,8.24741,5.34014,5.57299,5.10996,25.2,10.91313
Nicrophorus tenuipes,1,1700,0,19.70023,4.73082,4.19792,4.74136,5.89372,10.22805,7.8447,5.30468,5.05151,4.75563,22.8,10.35619
Nicrophorus vespilloides,1,1700,0,13.58156,3.26283,2.7657,3.51472,4.48782,6.80401,6.10315,3.50323,3.5492,3.30275,18,7.05243
Nicrophorus vespilloides,2,1700,0,14.77,3.45954,2.85366,3.55149,4.67595,7.75897,6.32798,3.64573,3.81351,3.5628,16,7.45924
Nicrophorus vespilloides,2,1700,0,15.75803,3.6589,3.21378,3.90434,5.40259,8.19479,7.03785,4.06999,4.09887,3.51627,17,8.16886
Nicrophorus vespilloides,2,1700,0,14.40331,3.57882,2.84456,3.59622,4.5773,7.22827,6.70827,3.54442,3.62543,3.10204,15,7.16985
Nicrophorus vespilloides,2,1700,0,16.01334,3.95167,3.0942,3.90604,4.93997,8.15563,7.28316,3.86223,3.77758,3.54339,16,7.63981
Nicrophorus vespilloides,2,1700,0,17.00343,3.87637,3.3758,4.41214,5.56074,8.71492,7.29597,4.06292,4.39923,4.23504,17.2,8.46215
Nicrophorus quadripunctatus ,3,1700,0,14.65013,3.36045,2.9555,3.71296,4.17335,7.57672,5.71858,3.52789,3.63158,3.24413,16,7.15947
Nicrophorus vespilloides,3,1700,0,15.53403,3.56529,3.02066,3.90998,4.74678,8.05876,6.82688,3.59107,3.72626,3.97335,16,7.31733
