Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus tenuipes,7,800,0,20.26087,5.10451,4.25652,4.77751,6.19176,10.37885,7.95002,5.56289,5.36218,4.93612,22,10.92507
Nicrophorus tenuipes,7,800,0,21.81042,5.33789,4.64511,5.12742,6.52422,11.34511,8.37021,5.63137,5.90728,5.00649,24,11.53865
Nicrophorus concolor,7,800,1,32.34235,7.73642,6.2882,8.65394,10.52942,15.95199,12.86098,7.18783,6.63127,6.53816,37,13.8191
Nicrophorus quadripunctatus ,1,950,0,18.24233,4.23176,3.817,4.58323,5.46958,9.42734,6.83065,4.44899,4.47328,4.49253,19.3,8.92227
Nicrophorus quadripunctatus ,3,950,1,18.61152,4.89773,4.36552,4.45601,5.76096,9.25778,7.91053,4.49918,4.09118,4.57223,19,8.59036
Nicrophorus tenuipes,3,950,1,17.44277,4.33974,3.88823,4.28404,5.34028,8.81899,6.90404,4.52349,4.80874,4.45357,20,9.33223
Nicrophorus tenuipes,3,950,0,20.56215,4.77451,3.99107,5.99489,4.73053,9.79275,7.5767,5.14211,5.30877,4.64511,22,10.45088
Nicrophorus tenuipes,3,950,0,19.07878,4.84339,3.92931,4.5747,5.63676,9.66069,7.62798,5.0902,5.13299,4.02585,22,10.22319
Nicrophorus tenuipes,3,950,0,21.322,5.21058,4.56449,4.94732,6.27225,11.1641,8.3697,6.58087,5.4823,5.1772,23.5,12.06317
Nicrophorus tenuipes,3,950,0,22.17692,5.31634,4.69382,5.56164,6.76691,11.29894,8.31358,6.11451,5.68793,5.51569,24.5,11.80244
Nicrophorus maculifrons,3,950,1,21.67738,5.60133,4.90795,5.03029,6.53765,11.04576,8.22209,5.20803,5.04557,5.0101,24,10.2536
Nicrophorus maculifrons,3,950,0,19.81179,4.54534,3.86586,4.7388,5.58462,10.52765,7.32032,4.47273,4.1022,3.96157,22.5,8.57493
Nicrophorus maculifrons,3,950,0,20.46037,4.71145,4.26207,4.90772,6.15258,10.8412,7.77808,4.97926,4.68052,4.62649,24,9.65978
Nicrophorus maculifrons,3,950,0,17.36731,4.16592,3.53537,4.15223,5.04994,9.04916,6.52381,4.17608,4.12642,4.03861,25,8.3025
Nicrophorus vespilloides,3,950,0,16.64857,4.14395,3.23679,4.08199,5.13412,8.42263,7.30312,4.36505,4.24851,3.82416,17,8.61356
Nicrophorus quadripunctatus ,4,950,0,16.31251,3.72117,3.38103,4.20299,4.92318,8.38835,6.55013,4.03527,4.14574,3.47253,18,8.18101
Nicrophorus quadripunctatus ,4,950,0,16.02466,3.66776,3.23555,4.02894,4.81867,8.32796,6.28067,3.90703,3.51391,3.93648,17.5,7.42094
Nicrophorus quadripunctatus ,4,950,0,16.84359,4.06003,3.46708,4.21163,5.05108,8.57193,6.65179,4.03959,4.19567,3.79969,18.2,8.23526
Nicrophorus quadripunctatus ,4,950,0,17.57849,4.10493,3.45488,4.45379,5.08828,9.01977,6.7598,4.08473,4.2072,3.76898,19,8.29193
Nicrophorus quadripunctatus ,4,950,0,18.99912,4.40478,3.75705,4.66227,5.44774,9.93207,7.42286,4.58823,4.68713,4.19697,20.2,9.27536
Silpha perforata,4,950,1,17.26687,2.90889,2.55926,4.61326,7.17369,9.74472,7.45882,4.44458,4.54924,5.35217,1.22805,8.99382
Silpha perforata,4,950,0,20.17985,3.16507,2.77671,5.44768,8.40779,11.5671,8.64875,5.1505,5.41072,6.06272,1.04433,10.56122
Nicrophorus tenuipes,4,950,1,21.78922,5.82043,4.92859,5.0296,6.45152,10.93919,8.1814,5.90381,5.39393,5.23776,24.4,11.29774
Nicrophorus tenuipes,4,950,1,18.97183,5.11808,4.34005,4.45856,5.65473,9.39519,7.3408,5.17662,4.22066,4.48273,21,9.39728
Nicrophorus tenuipes,4,950,0,19.74952,4.88123,4.26625,4.79924,5.8777,10.06905,7.75048,5.31779,5.2818,4.65904,23,10.59959
Nicrophorus maculifrons,4,950,0,19.42414,4.18908,3.95661,4.88211,5.80617,10.35295,7.7157,4.47257,4.21418,4.38882,23.3,8.68675
Nicrophorus maculifrons,4,950,0,20.43514,4.29077,3.92676,4.97065,6.10372,11.17372,8.26933,4.97318,4.54704,4.30183,24,9.52022
Nicrophorus maculifrons,4,950,0,17.3375,3.7524,3.54313,4.28665,5.23826,9.29845,6.47013,4.22513,4.02004,3.81183,20.7,8.24517
Nicrophorus maculifrons,4,950,0,16.51503,3.68234,3.24121,3.9954,4.84282,8.83729,6.44782,3.76118,3.78348,3.75693,19,7.54466
Nicrophorus maculifrons,4,950,0,18.40572,4.28012,3.61989,4.24122,5.21582,9.88438,7.10425,4.20076,4.26085,4.08304,21,8.46161
Nicrophorus vespilloides,4,950,0,14.10393,3.27011,2.74988,3.47773,4.49125,7.35609,5.89215,2.91829,3.03346,3.463,15,5.95175
Nicrophorus quadripunctatus ,5,950,1,17.38227,4.87623,4.04047,3.77064,5.13249,8.7354,6.69347,3.81229,3.37332,4.2967,18.6,7.18561
Nicrophorus quadripunctatus ,5,950,0,18.59759,4.43273,3.70886,4.65272,5.49699,9.51214,7.33283,4.39621,4.43514,3.81174,20,8.83135
Nicrophorus quadripunctatus ,5,950,0,15.49551,3.55368,3.08256,3.83887,4.43571,8.10296,6.00363,3.66842,3.60756,3.50558,17,7.27598
